date,usage,price
2015-10-30,24596,56.53
2015-10-31,24537,46.95
2015-11-01,27171,63.39
2015-11-02,29639,42.89
2015-11-03,25921,50.83
2015-11-04,25812,55.06
2015-11-05,23611,56.43
2015-11-06,26883,59.56
2015-11-07,29689,64.79
2015-11-08,27314,53.4
2015-11-09,25485,67.92
2015-11-10,22716,67.05
2015-11-11,24381,67.43
2015-11-12,27101,67.58
2015-11-13,24884,65.2
2015-11-14,24785,55.23
2015-11-15,22864,59.67
2015-11-16,22612,63.66
2015-11-17,24849,63.59
2015-11-18,25090,65.09
2015-11-19,24987,66.19
2015-11-20,25371,64.81
2015-11-21,25736,40.71
2015-11-22,23899,47.09
2015-11-23,23821,58.48
2015-11-24,26527,58.72
2015-11-25,26829,51.7
2015-11-26,26935,48.31
2015-11-27,27024,48.49
2015-11-28,27110,54.87
2015-11-29,25238,58.31
2015-11-30,24641,63.75
2015-12-01,26402,72.63
2015-12-02,29186,74.59
2015-12-03,25830,69.7
2015-12-04,24003,69.04
2015-12-05,25597,73.04
2015-12-06,25944,58.84
2015-12-07,27397,52.7
2015-12-08,27483,56.21
2015-12-09,25398,64.68
2015-12-10,22527,69.02
2015-12-11,24702,68.95
2015-12-12,27461,70.16
2015-12-13,25567,65.67
2015-12-14,25185,47.59
2015-12-15,27662,49.99
2015-12-16,27111,52.54
2015-12-17,27028,54.89
2015-12-18,26613,55.09
2015-12-19,27028,55.29
2015-12-20,25104,48.47
2015-12-21,24718,56
2015-12-22,26116,55.19
2015-12-23,26236,56.44
2015-12-24,25475,54.94
2015-12-25,22518,55.94
2015-12-26,22237,51.92
2015-12-27,23809,45.65
2015-12-28,23283,40.91
2015-12-29,24525,47.01
2015-12-30,24159,48.4
2015-12-31,24383,45.93
2016-01-01,22431,57.85
2016-01-02,24937,34.09
2016-01-03,27227,40.53
2016-01-04,26751,25.01
2016-01-05,23642,34.11
2016-01-06,25135,29
2016-01-07,28425,25.1
2016-01-08,26986,32.62
2016-01-09,28284,40.24
2016-01-10,25362,22.52
2016-01-11,22557,15.28
2016-01-12,27046,29.94
2016-01-13,27421,46.45
2016-01-14,27936,34.68
2016-01-15,27672,42.77
2016-01-16,28539,38.96
2016-01-17,27057,45.93
2016-01-18,26586,46.74
2016-01-19,27958,46.07
2016-01-20,28222,47.68
2016-01-21,27991,47.23
2016-01-22,28033,46.17
2016-01-23,27902,52.27
2016-01-24,25595,45.3
2016-01-25,25027,43.86
2016-01-26,27018,56.79
2016-01-27,27219,49.71
2016-01-28,27170,46.48
2016-01-29,27306,46.69
2016-01-30,27662,56.25
2016-01-31,25833,43.75
2016-02-01,22113,45.85
2016-02-02,26810,50.95
2016-02-03,27578,40.69
2016-02-04,26897,32.45
2016-02-05,22250,44.49
2016-02-06,25288,45.24
2016-02-07,27885,24.01
2016-02-08,28038,33.59
2016-02-09,28610,30.51
2016-02-10,23532,25.69
2016-02-11,22274,30.46
2016-02-12,27297,30.25
2016-02-13,27752,24.81
2016-02-14,25752,19.02
2016-02-15,26449,28.38
2016-02-16,27987,34.17
2016-02-17,28342,44.91
2016-02-18,28583,36.34
2016-02-19,28662,38.96
2016-02-20,28601,42.99
2016-02-21,26671,39.14
2016-02-22,25622,48.26
2016-02-23,27127,37.79
2016-02-24,27402,36.65
2016-02-25,27490,32.11
2016-02-26,27470,32.73
2016-02-27,28397,13.84
2016-02-28,26821,14.6
2016-02-29,26355,20.55
2016-03-01,23949,32.29
2016-03-02,26898,31.7
2016-03-03,27358,28.64
2016-03-04,25371,33.77
2016-03-05,24318,19.27
2016-03-06,25820,27.9
2016-03-07,26110,31.76
2016-03-08,28510,30.38
2016-03-09,28574,35.5
2016-03-10,23231,28
2016-03-11,24377,36.75
2016-03-12,27560,35.7
2016-03-13,26257,34.57
2016-03-14,25521,35.47
2016-03-15,27590,47.44
2016-03-16,27813,44.66
2016-03-17,27914,45.86
2016-03-18,27826,48.2
2016-03-19,27415,46.07
2016-03-20,25773,44.38
2016-03-21,25365,45.24
2016-03-22,26617,39.24
2016-03-23,26750,36.9
2016-03-24,26502,33.13
2016-03-25,24343,40.6
2016-03-26,23729,41.88
2016-03-27,24021,28.52
2016-03-28,24108,24.68
2016-03-29,24990,32.93
2016-03-30,26100,39.33
2016-03-31,26014,31.07
2016-04-01,23871,31.87
2016-04-02,27129,41.41
2016-04-03,27486,28.27
2016-04-04,24756,28.55
2016-04-05,25117,29.05
2016-04-06,25715,31.87
2016-04-07,26198,31.96
2016-04-08,28595,28.19
2016-04-09,27229,26.64
2016-04-10,25205,23.73
2016-04-11,24692,19.76
2016-04-12,25515,28.47
2016-04-13,26527,28.6
2016-04-14,26311,31.46
2016-04-15,26235,30.98
2016-04-16,26314,28.43
2016-04-17,24490,27.79
2016-04-18,24375,31.61
2016-04-19,25927,18.73
2016-04-20,26025,29.46
2016-04-21,26102,30.56
2016-04-22,26304,44.95
2016-04-23,25708,35.83
2016-04-24,23549,25.02
2016-04-25,23577,28.62
2016-04-26,25089,30.81
2016-04-27,25192,37.87
2016-04-28,25555,37.11
2016-04-29,25434,33.75
2016-04-30,25562,40.24
2016-05-01,25284,28.59
2016-05-02,27410,31.03
2016-05-03,27791,32.94
2016-05-04,26713,32.79
2016-05-05,25075,41.05
2016-05-06,23767,43.8
2016-05-07,28009,36.83
2016-05-08,29021,16.69
2016-05-09,28021,24.18
2016-05-10,25635,32.78
2016-05-11,25183,30.64
2016-05-12,24546,31.67
2016-05-13,25420,31.3
2016-05-14,25340,20.07
2016-05-15,23450,24.48
2016-05-16,22746,33.85
2016-05-17,24158,39.34
2016-05-18,24887,41.35
2016-05-19,25125,32.9
2016-05-20,25161,38.47
2016-05-21,25189,33.39
2016-05-22,23513,28.47
2016-05-23,23522,34.83
2016-05-24,24547,41.35
2016-05-25,25085,41.87
2016-05-26,25607,43.97
2016-05-27,25693,47.77
2016-05-28,25413,36.43
2016-05-29,23391,27.25
2016-05-30,23157,42.41
2016-05-31,24949,45.12
2016-06-01,25240,45.34
2016-06-02,27602,45.93
2016-06-03,26143,48.92
2016-06-04,26878,47.88
2016-06-05,25237,48.12
2016-06-06,23861,53.37
2016-06-07,28575,54.3
2016-06-08,27565,45.85
2016-06-09,30273,46.4
2016-06-10,25570,52.61
2016-06-11,23000,42.38
2016-06-12,26044,49.47
2016-06-13,24919,46.73
2016-06-14,27746,38.91
2016-06-15,27377,36.11
2016-06-16,26440,41.58
2016-06-17,25780,50.19
2016-06-18,25708,50.01
2016-06-19,24109,38.48
2016-06-20,24344,45.9
2016-06-21,26220,47.09
2016-06-22,26888,46.13
2016-06-23,27360,41.72
2016-06-24,26956,44.35
2016-06-25,26606,45.52
2016-06-26,25268,34.84
2016-06-27,25309,39.66
2016-06-28,27599,45.86
2016-06-29,28195,48.89
2016-06-30,28223,48.72
2016-07-01,24564,50.87
2016-07-02,26013,48.21
2016-07-03,25972,43.07
2016-07-04,26444,42.4
2016-07-05,25269,50.09
2016-07-06,25823,48.55
2016-07-07,28627,48.65
2016-07-08,25772,49.13
2016-07-09,30991,49.46
2016-07-10,25386,52.51
2016-07-11,23101,47.7
2016-07-12,25103,47.49
2016-07-13,29358,43.6
2016-07-14,28179,38.49
2016-07-15,28170,40.84
2016-07-16,27404,45.65
2016-07-17,25470,48.99
2016-07-18,26119,48.84
2016-07-19,28665,47.18
2016-07-20,29456,47.1
2016-07-21,29538,49.78
2016-07-22,29522,44.98
2016-07-23,28228,47.25
2016-07-24,25941,45.78
2016-07-25,26581,46.24
2016-07-26,28775,44.57
2016-07-27,29724,45.11
2016-07-28,29425,45.39
2016-07-29,29977,47.92
2016-07-30,29201,52.16
2016-07-31,27007,41.22
2016-08-01,27104,49.7
2016-08-02,25520,45.28
2016-08-03,27811,48.68
2016-08-04,26478,50.51
2016-08-05,23383,44.3
2016-08-06,26548,43.94
2016-08-07,28411,41.22
2016-08-08,25702,41.97
2016-08-09,29608,49.73
2016-08-10,24978,37.49
2016-08-11,25254,41.94
2016-08-12,26060,44.53
2016-08-13,26477,51.33
2016-08-14,24973,50.15
2016-08-15,24363,48.46
2016-08-16,25367,56.21
2016-08-17,26746,52.49
2016-08-18,27420,51.23
2016-08-19,27691,49.95
2016-08-20,28023,53.57
2016-08-21,26032,44.79
2016-08-22,25749,46.35
2016-08-23,27887,47.54
2016-08-24,27920,47.48
2016-08-25,27766,46.26
2016-08-26,28083,45.88
2016-08-27,27724,50.03
2016-08-28,26473,49.47
2016-08-29,26505,47.01
2016-08-30,28354,45.13
2016-08-31,28305,48.4
2016-09-01,26701,42.86
2016-09-02,27247,50.03
2016-09-03,27932,49.96
2016-09-04,26609,49.24
2016-09-05,23587,51.26
2016-09-06,27248,52.81
2016-09-07,28752,53.36
2016-09-08,27418,47.7
2016-09-09,28547,47.16
2016-09-10,23330,47.81
2016-09-11,26328,43.22
2016-09-12,24588,46.22
2016-09-13,27973,43.62
2016-09-14,26372,41.89
2016-09-15,25669,46.89
2016-09-16,25571,43.82
2016-09-17,25407,51.19
2016-09-18,23760,46.43
2016-09-19,23574,44.92
2016-09-20,25242,44.7
2016-09-21,25495,45.16
2016-09-22,25510,50.36
2016-09-23,25826,48.05
2016-09-24,25334,53.59
2016-09-25,23614,41.21
2016-09-26,23175,50.39
2016-09-27,25238,46.08
2016-09-28,25720,44.85
2016-09-29,25461,45.95
2016-09-30,25453,47.85
2016-10-01,25598,52.04
2016-10-02,27095,51.58
2016-10-03,28141,51.76
2016-10-04,24896,56.25
2016-10-05,25064,53.32
2016-10-06,27368,57.27
2016-10-07,27280,58.31
2016-10-08,26909,58.8
2016-10-09,27820,50.64
2016-10-10,22969,50.85
2016-10-11,26028,63.37
2016-10-12,25755,56.65
2016-10-13,23072,61.8
2016-10-14,24155,62.74
2016-10-15,24264,56.86
2016-10-16,22761,50.38
2016-10-17,23060,59.56
2016-10-18,24754,61.94
2016-10-19,24713,61.11
2016-10-20,24917,63.93
2016-10-21,24811,61.77
2016-10-22,24988,60.99
2016-10-23,23190,47.45
2016-10-24,22991,53.34
2016-10-25,24858,59.09
2016-10-26,24919,65.5
2016-10-27,24899,59.17
2016-10-28,25050,56.14
2016-10-29,24872,60.68
2016-10-30,22752,61
2016-10-31,21730,58.57
2016-11-01,25208,54.88
2016-11-02,27275,63.41
2016-11-03,28120,66.07
2016-11-04,24447,63.55
2016-11-05,25080,60.19
2016-11-06,26598,51.67
2016-11-07,27971,55.38
2016-11-08,26418,56.93
2016-11-09,26100,47.73
2016-11-10,24555,61.43
2016-11-11,26532,63.93
2016-11-12,25130,66.31
2016-11-13,24487,64.71
2016-11-14,23824,53.73
2016-11-15,26093,54.62
2016-11-16,26268,63.07
2016-11-17,26421,70.06
2016-11-18,26532,59.56
2016-11-19,26473,64.51
2016-11-20,24527,53
2016-11-21,24466,28.36
2016-11-22,26306,64.04
2016-11-23,26662,61.86
2016-11-24,26583,58.32
2016-11-25,27232,54.56
2016-11-26,27516,50.86
2016-11-27,25581,53.58
2016-11-28,24874,59.7
2016-11-29,27010,69.48
2016-11-30,27142,58.23
2016-12-01,26945,63.26
2016-12-02,27401,74.36
2016-12-03,28222,73.54
2016-12-04,26457,54.87
2016-12-05,25309,56.59
2016-12-06,24574,70.56
2016-12-07,29806,71.49
2016-12-08,26492,61.87
2016-12-09,26083,56.63
2016-12-10,24185,59.68
2016-12-11,26394,71.19
2016-12-12,24929,68.21
2016-12-13,27313,73.89
2016-12-14,27890,64.53
2016-12-15,27758,72.72
2016-12-16,27953,62.71
2016-12-17,27844,66.07
2016-12-18,25996,55.4
2016-12-19,26213,62.18
2016-12-20,28068,67.4
2016-12-21,28076,64.04
2016-12-22,28092,71.69
2016-12-23,27231,73.5
2016-12-24,25917,70.22
2016-12-25,22962,58.17
2016-12-26,22696,66.97
2016-12-27,24118,58
2016-12-28,25407,62.76
2016-12-29,25391,58.85
2016-12-30,25582,70.4
2016-12-31,25926,71.38
2017-01-01,24401,67.85
2017-01-02,27653,64.04
2017-01-03,26347,62.12
2017-01-04,26130,69.61
2017-01-05,23330,58.58
2017-01-06,25976,67.4
2017-01-07,26689,73.6
2017-01-08,28638,76.08
2017-01-09,26679,66.19
2017-01-10,23790,66.64
2017-01-11,24594,64.7
2017-01-12,28697,80.84
2017-01-13,27809,66.1
2017-01-14,28770,82.15
2017-01-15,27627,73.26
2017-01-16,27068,66.1
2017-01-17,28706,69.03
2017-01-18,29628,73.96
2017-01-19,30076,86.48
2017-01-20,30667,87.66
2017-01-21,30075,93.83
2017-01-22,28200,87.51
2017-01-23,27029,76.94
2017-01-24,29169,93.56
2017-01-25,29068,103.11
2017-01-26,29522,97.78
2017-01-27,29537,74.69
2017-01-28,29408,67.93
2017-01-29,27404,68.81
2017-01-30,26379,66.62
2017-01-31,27848,68.63
2017-02-01,23755,77.85
2017-02-02,27587,48.85
2017-02-03,26993,49.7
2017-02-04,24699,44.84
2017-02-05,22896,43.71
2017-02-06,26764,51.98
2017-02-07,24479,55.59
2017-02-08,28800,54.19
2017-02-09,26278,58.4
2017-02-10,23626,58.62
2017-02-11,22723,68.24
2017-02-12,29451,57.55
2017-02-13,25608,49.64
2017-02-14,27336,53.43
2017-02-15,27116,56.43
2017-02-16,26993,55.76
2017-02-17,27511,65.01
2017-02-18,27535,67.89
2017-02-19,25613,55.49
2017-02-20,24792,49.34
2017-02-21,26738,50.49
2017-02-22,26910,48.3
2017-02-23,27045,63.09
2017-02-24,26892,54.47
2017-02-25,27187,58.76
2017-02-26,25140,60
2017-02-27,24908,57.15
2017-02-28,26415,41.95
2017-03-01,27117,53.88
2017-03-02,27736,58.41
2017-03-03,27054,55.66
2017-03-04,23883,38.44
2017-03-05,25015,45.02
2017-03-06,26782,40.73
2017-03-07,25206,55.65
2017-03-08,29358,52.76
2017-03-09,24748,56.96
2017-03-10,25601,55.82
2017-03-11,24943,58.21
2017-03-12,27823,41.75
2017-03-13,23295,36.35
2017-03-14,25928,37.89
2017-03-15,25848,45.64
2017-03-16,25842,53.38
2017-03-17,26113,53.76
2017-03-18,25394,53.51
2017-03-19,23671,56.68
2017-03-20,23265,56.98
2017-03-21,25004,54.01
2017-03-22,26014,43.74
2017-03-23,26449,47.86
2017-03-24,26987,58.92
2017-03-25,27204,47.33
2017-03-26,25472,50.65
2017-03-27,24840,43.33
2017-03-28,26940,54.68
2017-03-29,26746,55.86
2017-03-30,26332,55.31
2017-03-31,26230,49.95
2017-04-01,27702,41.48
2017-04-02,27676,51.52
2017-04-03,27388,56.75
2017-04-04,25705,57.15
2017-04-05,25709,45.27
2017-04-06,24391,42.08
2017-04-07,27790,43.08
2017-04-08,30277,58.74
2017-04-09,24724,60.45
2017-04-10,25629,50.07
2017-04-11,24974,54.7
2017-04-12,27301,58.75
2017-04-13,24470,59.76
2017-04-14,22623,62.09
2017-04-15,22031,59.8
2017-04-16,21995,56.44
2017-04-17,21884,56.32
2017-04-18,23050,47.16
